facility_id,name,facility_type,infrastructure_type,owner,address,suburb,lga,lat,lon,accepted_materials,capacity_kg_per_day,capacity_source,capacity_confidence,source_id,source_url,data_confidence,derivation_method
fac_0001_be_bioenergy,BE Bioenergy,Reprocessor,Thermal energy from waste,Yarrock,713 Yarrock Road,Kaniva,West Wimmera,-36.264183,141.189763,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0002_rupanyup_transfer_station,Rupanyup Transfer Station,Resource Recovery Centre,Transfer station,Yarriambiack Shire Council,32 Boyds Rd,Rupanyup,Yarriambiack,-36.61576037,142.634276,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0003_minyip_transfer_station,Minyip Transfer Station,Resource Recovery Centre,Transfer station,Yarriambiack Shire Council,332 Minyip-Rich Avon Road,Minyip,Yarriambiack,-36.4671417,142.6327274,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0004_beulah_transfer_station,Beulah Transfer Station,Resource Recovery Centre,Transfer station,Yarriambiack Shire Council,28 Beulah Tip Road,Beulah,Yarriambiack,-35.93097778,142.4408611,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0005_hopetoun_transfer_station,Hopetoun Transfer Station,Resource Recovery Centre,Transfer station,Yarriambiack Shire Council,8 Tip Road,Hopetoun,Yarriambiack,-35.736704,142.346648,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0006_murtoa_transfer_station_resource_recover,Murtoa Transfer Station & Resource Recovery Centre,Resource Recovery Centre,Transfer station,Yarriambiack Shire Council,1281 Wimmera Highway,Murtoa,Yarriambiack,-36.62198333,142.4967,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0007_tempy_landfill_and_resource_recovery_cen,Tempy Landfill and Resource Recovery Centre,Resource Recovery Centre,Transfer station,Yarriambiack Shire Council,3270 Sunraysia Highway,Tempy,Yarriambiack,-35.359321,142.428256,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0008_warracknabeal_transfer_station,Warracknabeal Transfer Station,Resource Recovery Centre,Transfer station,Yarriambiack Shire Council,108 Tip Road,Warracknabeal,Yarriambiack,-36.226349,142.407726,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0009_woomelang_transfer_station,Woomelang Transfer Station,Resource Recovery Centre,Transfer station,Yarriambiack Shire Council,121 Church Street,Woomelang,Yarriambiack,-35.696939,142.67586,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0010_patchewollock_transfer_station,Patchewollock Transfer Station,Resource Recovery Centre,Transfer station,Yarriambiack Shire Council,38 Patchewollock Tip Road,Patchewollock,Yarriambiack,-35.371129,142.20475,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
